Image;Tag;Title Lent;Title Lent_link;Game Genre 1;Game Genre 3;Game Date;Game Genre 4
https://stopga.me/images/games/logos/7819/c170x119/Q56ZhvsWEZabqce8jV4MMg/alien_hominid.jpg;6.8;Alien Hominid;https://stopgame.ru/game/alien_hominid;arcade;;21 но€бр€ 2004 г.;GBA, GC, PS2, X360, XBOX
https://stopga.me/images/games/logos/10572/c170x119/hwULFnv_QmoDlBvg87ZeYg/hot_wheels_beat_that.jpg;6.8;Hot Wheels: Beat That!;https://stopgame.ru/game/hot_wheels_beat_that;arcade;racing;13 но€бр€ 2007 г.;PC
https://stopga.me/images/games/logos/13927/c170x119/Z8w5BMIs5Yt9T8nQXCf25w/one_way_heroics.jpg;6.8;One Way Heroics;https://stopgame.ru/game/one_way_heroics;rpg;;28 феврал€ 2014 г.;PC
https://stopga.me/images/games/logos/15045/c170x119/OWyJXMx76nEVHkR5wkLjFQ/rain_of_reflections.jpg;6.8;Rain of Reflections: Chapter 1;https://stopgame.ru/game/rain_of_reflections;rpg;;4 окт€бр€ 2019 г.;PC
https://stopga.me/images/games/logos/16045/c170x119/00xRlr8iNSWoYoGIIsp4ug/serial_cleaner.jpg;6.8;Serial Cleaner;https://stopgame.ru/game/serial_cleaner;action;;11 июл€ 2017 г.;Mac, NSW, PC, PS4, XONE
https://stopga.me/images/games/logos/16501/c170x119/ubj3S1HxqCPF1Oi8JShudg/pineview_drive.jpg;6.8;Pineview Drive;https://stopgame.ru/game/pineview_drive;action;;31 июл€ 2014 г.;PC, PS4
https://stopga.me/images/games/logos/16881/c170x119/TH1uDfbTUeEmcuHarm99WA/parappa_the_rapper_remastered.jpg;6.8;PaRappa the Rapper Remastered;https://stopgame.ru/game/parappa_the_rapper_remastered;arcade;;28 марта 2017 г.;PS4
https://stopga.me/images/games/logos/17047/c170x119/_ViDLoJwvG3IdMpcK01nmw/nba_playgrounds.jpg;6.8;NBA Playgrounds;https://stopgame.ru/game/nba_playgrounds;sport;;9 ма€ 2017 г.;NSW, PC, PS4, XONE
https://stopga.me/images/games/logos/18934/c170x119/KqgQzftYrGlKLDhAmVZIIQ/american_fugitive.jpg;6.8;American Fugitive;https://stopgame.ru/game/american_fugitive;action;strategy;21 ма€ 2019 г.;NSW, PC, PS4, XONE
https://stopga.me/images/games/2019/07/15/c170x119/TTJAO2avnh3EQavyRfFmoA/GdmP9N-v-.jpg;6.8;Night Call;https://stopgame.ru/game/night_call;adventure;;17 июл€ 2019 г.;Mac, NSW, PC
https://stopga.me/images/games/logos/5630/c170x119/Q-tSuCL1YIWXYuVbOHYPHQ/duke_nukem_forever.jpg;6.8;Duke Nukem Forever;https://stopgame.ru/game/duke_nukem_forever;action;;10 июн€ 2011 г.;Mac, PC, PS3, X360
